run_sequence,comparison,left,right,block,order,position,label,binary,mode,iterations,seed,elapsed_ns,process_wall_ns,checksum,status,error
60,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,0,B,pgo-alpha,alpha,20000000,2,54282081,56412710,738344c7b84fb861,ok,
61,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,1,A,pgo-beta,alpha,20000000,2,60150647,62851458,738344c7b84fb861,ok,
62,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,2,A,pgo-beta,alpha,20000000,2,54288151,56968362,738344c7b84fb861,ok,
63,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,3,B,pgo-alpha,alpha,20000000,2,54235791,56875782,738344c7b84fb861,ok,
64,alpha-trained-alpha,baseline,pgo-alpha,2,BAAB,0,B,pgo-alpha,alpha,20000000,2,54412142,57035973,738344c7b84fb861,ok,
65,alpha-trained-alpha,baseline,pgo-alpha,2,BAAB,1,A,baseline,alpha,20000000,2,48859878,51492459,738344c7b84fb861,ok,
66,alpha-trained-alpha,baseline,pgo-alpha,2,BAAB,2,A,baseline,alpha,20000000,2,48802629,51385350,738344c7b84fb861,ok,
67,alpha-trained-alpha,baseline,pgo-alpha,2,BAAB,3,B,pgo-alpha,alpha,20000000,2,54297600,56977763,738344c7b84fb861,ok,
68,profile-choice-beta,pgo-beta,pgo-alpha,2,BAAB,0,B,pgo-alpha,beta,20000000,2,59700125,62398617,45a6fabf192242a9,ok,
69,profile-choice-beta,pgo-beta,pgo-alpha,2,BAAB,1,A,pgo-beta,beta,20000000,2,54350521,57026202,45a6fabf192242a9,ok,
70,profile-choice-beta,pgo-beta,pgo-alpha,2,BAAB,2,A,pgo-beta,beta,20000000,2,54375722,57067763,45a6fabf192242a9,ok,
71,profile-choice-beta,pgo-beta,pgo-alpha,2,BAAB,3,B,pgo-alpha,beta,20000000,2,59721935,62455267,45a6fabf192242a9,ok,
72,identity-steady,baseline,baseline-copy,2,ABBA,0,A,baseline,alpha,20000000,2,48840577,51553859,738344c7b84fb861,ok,
73,identity-steady,baseline,baseline-copy,2,ABBA,1,B,baseline-copy,alpha,20000000,2,48881619,51552500,738344c7b84fb861,ok,
74,identity-steady,baseline,baseline-copy,2,ABBA,2,B,baseline-copy,alpha,20000000,2,48903518,51522439,738344c7b84fb861,ok,
75,identity-steady,baseline,baseline-copy,2,ABBA,3,A,baseline,alpha,20000000,2,48859369,51450960,738344c7b84fb861,ok,
76,identity-startup,baseline,baseline-copy,2,ABBA,0,A,baseline,noop,0,2,0,2657081,0000000000000002,ok,
77,identity-startup,baseline,baseline-copy,2,ABBA,1,B,baseline-copy,noop,0,2,0,1958349,0000000000000002,ok,
78,identity-startup,baseline,baseline-copy,2,ABBA,2,B,baseline-copy,noop,0,2,0,1899408,0000000000000002,ok,
79,identity-startup,baseline,baseline-copy,2,ABBA,3,A,baseline,noop,0,2,0,1914738,0000000000000002,ok,
80,alpha-trained-beta,baseline,pgo-alpha,2,BAAB,0,B,pgo-alpha,beta,20000000,2,54234222,56436401,45a6fabf192242a9,ok,
81,alpha-trained-beta,baseline,pgo-alpha,2,BAAB,1,A,baseline,beta,20000000,2,49071469,51694410,45a6fabf192242a9,ok,
82,alpha-trained-beta,baseline,pgo-alpha,2,BAAB,2,A,baseline,beta,20000000,2,49099990,51683581,45a6fabf192242a9,ok,
83,alpha-trained-beta,baseline,pgo-alpha,2,BAAB,3,B,pgo-alpha,beta,20000000,2,59723754,62375135,45a6fabf192242a9,ok,
84,identity-steady,baseline,baseline-copy,3,BAAB,0,B,baseline-copy,alpha,20000000,2,48861119,51527540,738344c7b84fb861,ok,
85,identity-steady,baseline,baseline-copy,3,BAAB,1,A,baseline,alpha,20000000,2,48821217,51403188,738344c7b84fb861,ok,
86,identity-steady,baseline,baseline-copy,3,BAAB,2,A,baseline,alpha,20000000,2,48907239,51508280,738344c7b84fb861,ok,
87,identity-steady,baseline,baseline-copy,3,BAAB,3,B,baseline-copy,alpha,20000000,2,48866057,51466218,738344c7b84fb861,ok,
88,alpha-trained-alpha,baseline,pgo-alpha,3,ABBA,0,A,baseline,alpha,20000000,2,48805978,51394809,738344c7b84fb861,ok,
89,alpha-trained-alpha,baseline,pgo-alpha,3,ABBA,1,B,pgo-alpha,alpha,20000000,2,54308472,56945804,738344c7b84fb861,ok,
90,alpha-trained-alpha,baseline,pgo-alpha,3,ABBA,2,B,pgo-alpha,alpha,20000000,2,54293391,56903882,738344c7b84fb861,ok,
91,alpha-trained-alpha,baseline,pgo-alpha,3,ABBA,3,A,baseline,alpha,20000000,2,48912129,51525880,738344c7b84fb861,ok,
92,identity-startup,baseline,baseline-copy,3,ABBA,0,A,baseline,noop,0,2,0,2370210,0000000000000002,ok,
93,identity-startup,baseline,baseline-copy,3,ABBA,1,B,baseline-copy,noop,0,2,0,1986269,0000000000000002,ok,
94,identity-startup,baseline,baseline-copy,3,ABBA,2,B,baseline-copy,noop,0,2,0,1941888,0000000000000002,ok,
95,identity-startup,baseline,baseline-copy,3,ABBA,3,A,baseline,noop,0,2,0,1935978,0000000000000002,ok,
96,alpha-trained-beta,baseline,pgo-alpha,3,BAAB,0,B,pgo-alpha,beta,20000000,2,54374621,56526181,45a6fabf192242a9,ok,
97,alpha-trained-beta,baseline,pgo-alpha,3,BAAB,1,A,baseline,beta,20000000,2,48788599,51423630,45a6fabf192242a9,ok,
98,alpha-trained-beta,baseline,pgo-alpha,3,BAAB,2,A,baseline,beta,20000000,2,48866618,51713379,45a6fabf192242a9,ok,
99,alpha-trained-beta,baseline,pgo-alpha,3,BAAB,3,B,pgo-alpha,beta,20000000,2,54250611,56880572,45a6fabf192242a9,ok,
100,profile-choice-beta,pgo-beta,pgo-alpha,3,BAAB,0,B,pgo-alpha,beta,20000000,2,59888867,62474537,45a6fabf192242a9,ok,
101,profile-choice-beta,pgo-beta,pgo-alpha,3,BAAB,1,A,pgo-beta,beta,20000000,2,54238700,56922462,45a6fabf192242a9,ok,
102,profile-choice-beta,pgo-beta,pgo-alpha,3,BAAB,2,A,pgo-beta,beta,20000000,2,54215442,56902933,45a6fabf192242a9,ok,
103,profile-choice-beta,pgo-beta,pgo-alpha,3,BAAB,3,B,pgo-alpha,beta,20000000,2,54294321,56916162,45a6fabf192242a9,ok,
104,profile-choice-alpha,pgo-beta,pgo-alpha,3,ABBA,0,A,pgo-beta,alpha,20000000,2,59752585,62377106,738344c7b84fb861,ok,
105,profile-choice-alpha,pgo-beta,pgo-alpha,3,ABBA,1,B,pgo-alpha,alpha,20000000,2,54312432,57024334,738344c7b84fb861,ok,
106,profile-choice-alpha,pgo-beta,pgo-alpha,3,ABBA,2,B,pgo-alpha,alpha,20000000,2,54224271,56844892,738344c7b84fb861,ok,
107,profile-choice-alpha,pgo-beta,pgo-alpha,3,ABBA,3,A,pgo-beta,alpha,20000000,2,54285212,56977423,738344c7b84fb861,ok,
108,alpha-trained-startup,baseline,pgo-alpha,3,BAAB,0,B,pgo-alpha,noop,0,2,0,2448890,0000000000000002,ok,
109,alpha-trained-startup,baseline,pgo-alpha,3,BAAB,1,A,baseline,noop,0,2,0,2024829,0000000000000002,ok,
110,alpha-trained-startup,baseline,pgo-alpha,3,BAAB,2,A,baseline,noop,0,2,0,1926428,0000000000000002,ok,
111,alpha-trained-startup,baseline,pgo-alpha,3,BAAB,3,B,pgo-alpha,noop,0,2,0,1905388,0000000000000002,ok,
112,alpha-trained-alpha,baseline,pgo-alpha,4,BAAB,0,B,pgo-alpha,alpha,20000000,2,54296833,56469282,738344c7b84fb861,ok,
113,alpha-trained-alpha,baseline,pgo-alpha,4,BAAB,1,A,baseline,alpha,20000000,2,48894757,51541810,738344c7b84fb861,ok,
114,alpha-trained-alpha,baseline,pgo-alpha,4,BAAB,2,A,baseline,alpha,20000000,2,48944999,51514480,738344c7b84fb861,ok,
115,alpha-trained-alpha,baseline,pgo-alpha,4,BAAB,3,B,pgo-alpha,alpha,20000000,2,54290551,56928512,738344c7b84fb861,ok,
116,profile-choice-beta,pgo-beta,pgo-alpha,4,BAAB,0,B,pgo-alpha,beta,20000000,2,59724475,62365136,45a6fabf192242a9,ok,
117,profile-choice-beta,pgo-beta,pgo-alpha,4,BAAB,1,A,pgo-beta,beta,20000000,2,54346982,57019973,45a6fabf192242a9,ok,
118,profile-choice-beta,pgo-beta,pgo-alpha,4,BAAB,2,A,pgo-beta,beta,20000000,2,54350441,56988622,45a6fabf192242a9,ok,
119,profile-choice-beta,pgo-beta,pgo-alpha,4,BAAB,3,B,pgo-alpha,beta,20000000,2,59652416,62358247,45a6fabf192242a9,ok,
120,identity-steady,baseline,baseline-copy,4,BAAB,0,B,baseline-copy,alpha,20000000,2,48901197,51578749,738344c7b84fb861,ok,
121,identity-steady,baseline,baseline-copy,4,BAAB,1,A,baseline,alpha,20000000,2,48872029,51462360,738344c7b84fb861,ok,
122,identity-steady,baseline,baseline-copy,4,BAAB,2,A,baseline,alpha,20000000,2,48862617,51463958,738344c7b84fb861,ok,
123,identity-steady,baseline,baseline-copy,4,BAAB,3,B,baseline-copy,alpha,20000000,2,48857039,51502730,738344c7b84fb861,ok,
124,identity-startup,baseline,baseline-copy,4,BAAB,0,B,baseline-copy,noop,0,2,0,2371690,0000000000000002,ok,
125,identity-startup,baseline,baseline-copy,4,BAAB,1,A,baseline,noop,0,2,0,2007959,0000000000000002,ok,
126,identity-startup,baseline,baseline-copy,4,BAAB,2,A,baseline,noop,0,2,0,1919088,0000000000000002,ok,
127,identity-startup,baseline,baseline-copy,4,BAAB,3,B,baseline-copy,noop,0,2,0,1907188,0000000000000002,ok,
128,alpha-trained-beta,baseline,pgo-alpha,4,ABBA,0,A,baseline,beta,20000000,2,48865009,50999737,45a6fabf192242a9,ok,
129,alpha-trained-beta,baseline,pgo-alpha,4,ABBA,1,B,pgo-alpha,beta,20000000,2,54763992,57399144,45a6fabf192242a9,ok,
130,alpha-trained-beta,baseline,pgo-alpha,4,ABBA,2,B,pgo-alpha,beta,20000000,2,55829759,58488951,45a6fabf192242a9,ok,
131,alpha-trained-beta,baseline,pgo-alpha,4,ABBA,3,A,baseline,beta,20000000,2,48908888,51543019,45a6fabf192242a9,ok,
132,profile-choice-alpha,pgo-beta,pgo-alpha,4,ABBA,0,A,pgo-beta,alpha,20000000,2,54309372,56937513,738344c7b84fb861,ok,
133,profile-choice-alpha,pgo-beta,pgo-alpha,4,ABBA,1,B,pgo-alpha,alpha,20000000,2,54217932,56878512,738344c7b84fb861,ok,
134,profile-choice-alpha,pgo-beta,pgo-alpha,4,ABBA,2,B,pgo-alpha,alpha,20000000,2,54295241,56993313,738344c7b84fb861,ok,
