comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
first_use_eager_over_lazy,first_use,0,ABBA,0,A,lazy,0,498298,8419328,ok,
first_use_eager_over_lazy,first_use,0,ABBA,1,B,same_image_eager,1,63154,8419328,ok,
first_use_eager_over_lazy,first_use,0,ABBA,2,B,same_image_eager,1,60449,8419328,ok,
first_use_eager_over_lazy,first_use,0,ABBA,3,A,lazy,0,470251,8419328,ok,
first_use_eager_over_lazy,first_use,1,BAAB,0,B,same_image_eager,1,55983,8419328,ok,
first_use_eager_over_lazy,first_use,1,BAAB,1,A,lazy,0,454959,8419328,ok,
first_use_eager_over_lazy,first_use,1,BAAB,2,A,lazy,0,474307,8419328,ok,
first_use_eager_over_lazy,first_use,1,BAAB,3,B,same_image_eager,1,54353,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,0,A,lazy,0,459117,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,1,B,same_image_eager,1,54990,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,2,B,same_image_eager,1,54198,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,3,A,lazy,0,454807,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,0,B,same_image_eager,1,54336,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,1,A,lazy,0,465033,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,2,A,lazy,0,455579,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,3,B,same_image_eager,1,52939,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,0,A,lazy,0,470085,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,1,B,same_image_eager,1,54686,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,2,B,same_image_eager,1,53554,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,3,A,lazy,0,453143,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,0,B,same_image_eager,1,53030,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,1,A,lazy,0,473877,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,2,A,lazy,0,469610,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,3,B,same_image_eager,1,53434,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,0,A,lazy,0,452993,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,1,B,same_image_eager,1,53885,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,2,B,same_image_eager,1,54686,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,3,A,lazy,0,465153,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,0,B,same_image_eager,1,54792,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,1,A,lazy,0,467443,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,2,A,lazy,0,470822,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,3,B,same_image_eager,1,52913,8419328,ok,
first_use_eager_over_lazy,first_use,8,ABBA,0,A,lazy,0,452724,8419328,ok,
first_use_eager_over_lazy,first_use,8,ABBA,1,B,same_image_eager,1,54321,8419328,ok,
first_use_eager_over_lazy,first_use,8,ABBA,2,B,same_image_eager,1,53484,8419328,ok,
first_use_eager_over_lazy,first_use,8,ABBA,3,A,lazy,0,451516,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,0,B,same_image_eager,1,54294,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,1,A,lazy,0,450550,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,2,A,lazy,0,455716,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,3,B,same_image_eager,1,52960,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,0,A,lazy,0,475678,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,1,B,same_image_eager,1,54095,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,2,B,same_image_eager,1,54010,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,3,A,lazy,0,454955,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,0,B,same_image_eager,1,53584,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,1,A,lazy,0,454771,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,2,A,lazy,0,479226,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,3,B,same_image_eager,1,53427,8419328,ok,
first_use_aa,first_use,0,ABBA,0,A,lazy,0,452008,8419328,ok,
first_use_aa,first_use,0,ABBA,1,B,lazy_b,0,456222,8419328,ok,
first_use_aa,first_use,0,ABBA,2,B,lazy_b,0,453211,8419328,ok,
first_use_aa,first_use,0,ABBA,3,A,lazy,0,482283,8419328,ok,
first_use_aa,first_use,1,BAAB,0,B,lazy_b,0,454139,8419328,ok,
first_use_aa,first_use,1,BAAB,1,A,lazy,0,463485,8419328,ok,
first_use_aa,first_use,1,BAAB,2,A,lazy,0,469408,8419328,ok,
first_use_aa,first_use,1,BAAB,3,B,lazy_b,0,456390,8419328,ok,
first_use_aa,first_use,2,ABBA,0,A,lazy,0,458695,8419328,ok,
first_use_aa,first_use,2,ABBA,1,B,lazy_b,0,448929,8419328,ok,
first_use_aa,first_use,2,ABBA,2,B,lazy_b,0,466287,8419328,ok,
first_use_aa,first_use,2,ABBA,3,A,lazy,0,494767,8419328,ok,
first_use_aa,first_use,3,BAAB,0,B,lazy_b,0,453678,8419328,ok,
first_use_aa,first_use,3,BAAB,1,A,lazy,0,452699,8419328,ok,
first_use_aa,first_use,3,BAAB,2,A,lazy,0,477471,8419328,ok,
first_use_aa,first_use,3,BAAB,3,B,lazy_b,0,448718,8419328,ok,
first_use_aa,first_use,4,ABBA,0,A,lazy,0,460210,8419328,ok,
first_use_aa,first_use,4,ABBA,1,B,lazy_b,0,452277,8419328,ok,
first_use_aa,first_use,4,ABBA,2,B,lazy_b,0,472763,8419328,ok,
first_use_aa,first_use,4,ABBA,3,A,lazy,0,449697,8419328,ok,
first_use_aa,first_use,5,BAAB,0,B,lazy_b,0,455662,8419328,ok,
first_use_aa,first_use,5,BAAB,1,A,lazy,0,466615,8419328,ok,
first_use_aa,first_use,5,BAAB,2,A,lazy,0,456016,8419328,ok,
first_use_aa,first_use,5,BAAB,3,B,lazy_b,0,452676,8419328,ok,
first_use_aa,first_use,6,ABBA,0,A,lazy,0,453543,8419328,ok,
first_use_aa,first_use,6,ABBA,1,B,lazy_b,0,457768,8419328,ok,
first_use_aa,first_use,6,ABBA,2,B,lazy_b,0,454262,8419328,ok,
first_use_aa,first_use,6,ABBA,3,A,lazy,0,449687,8419328,ok,
first_use_aa,first_use,7,BAAB,0,B,lazy_b,0,458559,8419328,ok,
first_use_aa,first_use,7,BAAB,1,A,lazy,0,457885,8419328,ok,
first_use_aa,first_use,7,BAAB,2,A,lazy,0,464398,8419328,ok,
first_use_aa,first_use,7,BAAB,3,B,lazy_b,0,459623,8419328,ok,
first_use_aa,first_use,8,ABBA,0,A,lazy,0,456576,8419328,ok,
first_use_aa,first_use,8,ABBA,1,B,lazy_b,0,454566,8419328,ok,
first_use_aa,first_use,8,ABBA,2,B,lazy_b,0,1096987,8419328,ok,
first_use_aa,first_use,8,ABBA,3,A,lazy,0,454409,8419328,ok,
first_use_aa,first_use,9,BAAB,0,B,lazy_b,0,452965,8419328,ok,
first_use_aa,first_use,9,BAAB,1,A,lazy,0,453637,8419328,ok,
first_use_aa,first_use,9,BAAB,2,A,lazy,0,453497,8419328,ok,
first_use_aa,first_use,9,BAAB,3,B,lazy_b,0,479191,8419328,ok,
first_use_aa,first_use,10,ABBA,0,A,lazy,0,454147,8419328,ok,
first_use_aa,first_use,10,ABBA,1,B,lazy_b,0,464080,8419328,ok,
first_use_aa,first_use,10,ABBA,2,B,lazy_b,0,456342,8419328,ok,
first_use_aa,first_use,10,ABBA,3,A,lazy,0,470073,8419328,ok,
first_use_aa,first_use,11,BAAB,0,B,lazy_b,0,484327,8419328,ok,
first_use_aa,first_use,11,BAAB,1,A,lazy,0,452362,8419328,ok,
first_use_aa,first_use,11,BAAB,2,A,lazy,0,464155,8419328,ok,
first_use_aa,first_use,11,BAAB,3,B,lazy_b,0,456932,8419328,ok,
steady_eager_over_lazy,steady,0,ABBA,0,A,lazy,0,39202497,25624938568,ok,
steady_eager_over_lazy,steady,0,ABBA,1,B,same_image_eager,1,28914067,25624938568,ok,
steady_eager_over_lazy,steady,0,ABBA,2,B,same_image_eager,1,28907739,25624938568,ok,
steady_eager_over_lazy,steady,0,ABBA,3,A,lazy,0,57786502,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,0,B,same_image_eager,1,28885667,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,1,A,lazy,0,57785281,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,2,A,lazy,0,57784557,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,3,B,same_image_eager,1,28895419,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,0,A,lazy,0,57822094,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,1,B,same_image_eager,1,28888566,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,2,B,same_image_eager,1,28966412,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,3,A,lazy,0,57788855,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,0,B,same_image_eager,1,28886440,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,1,A,lazy,0,57842327,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,2,A,lazy,0,57848866,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,3,B,same_image_eager,1,28895553,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,0,A,lazy,0,57830167,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,1,B,same_image_eager,1,28889225,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,2,B,same_image_eager,1,28885126,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,3,A,lazy,0,29244894,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,0,B,same_image_eager,1,28954617,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,1,A,lazy,0,57824375,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,2,A,lazy,0,57845674,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,3,B,same_image_eager,1,28885702,25624938568,ok,
steady_eager_over_lazy,steady,6,ABBA,0,A,lazy,0,57897395,25624938568,ok,
steady_eager_over_lazy,steady,6,ABBA,1,B,same_image_eager,1,28891635,25624938568,ok,
steady_eager_over_lazy,steady,6,ABBA,2,B,same_image_eager,1,28880828,25624938568,ok,
steady_eager_over_lazy,steady,6,ABBA,3,A,lazy,0,57839603,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,0,B,same_image_eager,1,28878090,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,1,A,lazy,0,57811547,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,2,A,lazy,0,57782007,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,3,B,same_image_eager,1,28885381,25624938568,ok,
steady_eager_over_lazy,steady,8,ABBA,0,A,lazy,0,57824006,25624938568,ok,
