comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
fetch_add_seqcst_relaxed,6,2,fetch_add_seqcst,10000000,3118,1000000,5687792,56867853,5.686785300,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,6,3,fetch_add_relaxed,10000000,3020,1000000,5699638,56828907,5.682890700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,6,0,store_relaxed,50000000,3138,1000000,156348,7824121,0.156482420,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,6,1,store_relaxed,50000000,2965,1000000,156346,7824480,0.156489600,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,7,0,store_release,50000000,3013,1000000,156343,7828526,0.156570520,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,7,1,store_relaxed,50000000,3081,1000000,156345,7823469,0.156469380,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,7,2,store_relaxed,50000000,3100,1000000,156400,7824067,0.156481340,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,7,3,store_release,50000000,2973,1000000,156340,7824039,0.156480780,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,7,0,store_seqcst,50000000,4813,1000000,5326437,266475097,5.329501940,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,7,1,store_release,50000000,2921,1000000,156348,7839621,0.156792420,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,7,2,store_release,50000000,2988,1000000,156347,7841197,0.156823940,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,7,3,store_seqcst,50000000,3030,1000000,5337180,266287378,5.325747560,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,7,0,fetch_add_seqcst,10000000,2913,1000000,5701120,56816765,5.681676500,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,7,1,fetch_add_relaxed,10000000,3049,1000000,5677810,56907357,5.690735700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,7,2,fetch_add_relaxed,10000000,2899,1000000,5690803,56779900,5.677990000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,7,3,fetch_add_seqcst,10000000,3198,1000000,5685468,56861576,5.686157600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,7,0,store_relaxed,50000000,3248,1000000,156349,7901387,0.158027740,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,7,1,store_relaxed,50000000,2986,1000000,156422,7844151,0.156883020,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,8,0,store_relaxed,50000000,2944,1000000,156355,7836734,0.156734680,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,8,1,store_release,50000000,2873,1000000,156343,7842574,0.156851480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,8,2,store_release,50000000,3144,1000000,156337,7863703,0.157274060,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,8,3,store_relaxed,50000000,3002,1000000,156347,7839675,0.156793500,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,8,0,store_release,50000000,3318,1000000,156454,7842585,0.156851700,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,8,1,store_seqcst,50000000,3075,1000000,5343169,266424460,5.328489200,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,8,2,store_seqcst,50000000,4984,1000000,5317010,266330520,5.326610400,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,8,3,store_release,50000000,3031,1000000,156340,7854847,0.157096940,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,8,0,fetch_add_relaxed,10000000,3056,1000000,5692182,56786060,5.678606000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,8,1,fetch_add_seqcst,10000000,2996,1000000,5695377,56881558,5.688155800,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
