comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
first_use_eager_over_lazy,first_use,1,BAAB,0,B,same_image_eager,1,73910,8419328,ok,
first_use_eager_over_lazy,first_use,1,BAAB,1,A,lazy,0,894450,8419328,ok,
first_use_eager_over_lazy,first_use,1,BAAB,2,A,lazy,0,890220,8419328,ok,
first_use_eager_over_lazy,first_use,1,BAAB,3,B,same_image_eager,1,69940,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,0,A,lazy,0,884750,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,1,B,same_image_eager,1,71400,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,2,B,same_image_eager,1,70440,8419328,ok,
first_use_eager_over_lazy,first_use,2,ABBA,3,A,lazy,0,890490,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,0,B,same_image_eager,1,70970,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,1,A,lazy,0,891320,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,2,A,lazy,0,908030,8419328,ok,
first_use_eager_over_lazy,first_use,3,BAAB,3,B,same_image_eager,1,70960,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,0,A,lazy,0,897210,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,1,B,same_image_eager,1,71070,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,2,B,same_image_eager,1,70000,8419328,ok,
first_use_eager_over_lazy,first_use,4,ABBA,3,A,lazy,0,884710,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,0,B,same_image_eager,1,70870,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,1,A,lazy,0,887680,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,2,A,lazy,0,899540,8419328,ok,
first_use_eager_over_lazy,first_use,5,BAAB,3,B,same_image_eager,1,70240,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,0,A,lazy,0,881220,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,1,B,same_image_eager,1,79480,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,2,B,same_image_eager,1,70850,8419328,ok,
first_use_eager_over_lazy,first_use,6,ABBA,3,A,lazy,0,899070,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,0,B,same_image_eager,1,72240,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,1,A,lazy,0,896110,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,2,A,lazy,0,886260,8419328,ok,
first_use_eager_over_lazy,first_use,7,BAAB,3,B,same_image_eager,1,72500,8419328,ok,
first_use_eager_over_lazy,first_use,8,ABBA,0,A,lazy,0,887120,8419328,ok,
