comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
fetch_add_seqcst_relaxed,5,1,fetch_add_relaxed,10000000,4938,1000000,5195174,50572885,5.057288500,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,5,2,fetch_add_relaxed,10000000,4800,1000000,5066945,50504359,5.050435900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,5,3,fetch_add_seqcst,10000000,4591,1000000,5046902,50473842,5.047384200,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,5,0,store_relaxed,50000000,4590,1000000,193183,9675262,0.193505240,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,5,1,store_relaxed,50000000,4665,1000000,193172,9733006,0.194660120,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,6,0,store_relaxed,50000000,4456,1000000,193174,9680877,0.193617540,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,6,1,store_release,50000000,4718,1000000,193366,9686322,0.193726440,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,6,2,store_release,50000000,4815,1000000,193397,9742612,0.194852240,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,6,3,store_relaxed,50000000,4648,1000000,193229,9687608,0.193752160,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,6,0,store_release,50000000,4552,1000000,193385,9686925,0.193738500,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,6,1,store_seqcst,50000000,4456,1000000,193375,9770174,0.195403480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,6,2,store_seqcst,50000000,4698,1000000,193407,9689832,0.193796640,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,6,3,store_release,50000000,4497,1000000,193368,9688322,0.193766440,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,6,0,fetch_add_relaxed,10000000,4411,1000000,5067853,50681293,5.068129300,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,6,1,fetch_add_seqcst,10000000,4747,1000000,5064274,50578718,5.057871800,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,6,2,fetch_add_seqcst,10000000,4625,1000000,5061720,50457177,5.045717700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,6,3,fetch_add_relaxed,10000000,4812,1000000,5066523,50546013,5.054601300,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,6,0,store_relaxed,50000000,4696,1000000,193224,9683932,0.193678640,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,6,1,store_relaxed,50000000,4741,1000000,193199,9685606,0.193712120,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,7,0,store_release,50000000,4691,1000000,193369,9797445,0.195948900,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,7,1,store_relaxed,50000000,4605,1000000,193178,9682890,0.193657800,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,7,2,store_relaxed,50000000,4703,1000000,193210,9678021,0.193560420,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,7,3,store_release,50000000,4527,1000000,193370,9689749,0.193794980,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,7,0,store_seqcst,50000000,4478,1000000,193373,9674197,0.193483940,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,7,1,store_release,50000000,4646,1000000,193386,9696076,0.193921520,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,7,2,store_release,50000000,4800,1000000,193391,9807005,0.196140100,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,7,3,store_seqcst,50000000,4639,1000000,202080,9686010,0.193720200,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,7,0,fetch_add_seqcst,10000000,4724,1000000,5045991,50657136,5.065713600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,7,1,fetch_add_relaxed,10000000,4816,1000000,5066467,50508280,5.050828000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,7,2,fetch_add_relaxed,10000000,5017,1000000,5142043,50455057,5.045505700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,7,3,fetch_add_seqcst,10000000,4880,1000000,5111133,50508207,5.050820700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,7,0,store_relaxed,50000000,4638,1000000,193189,9684421,0.193688420,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,7,1,store_relaxed,50000000,4861,1000000,202092,9678958,0.193579160,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,8,0,store_relaxed,50000000,4766,1000000,193222,9680577,0.193611540,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,8,1,store_release,50000000,4544,1000000,193412,9736693,0.194733860,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,8,2,store_release,50000000,4564,1000000,193362,9686094,0.193721880,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,8,3,store_relaxed,50000000,4559,1000000,193202,9684867,0.193697340,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,8,0,store_release,50000000,4478,1000000,193362,9694243,0.193884860,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,8,1,store_seqcst,50000000,4783,1000000,193369,9685123,0.193702460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
